section,text,clean_text,tokens,tokens_nostop
Welcome Message,Welcome to ICVS!,welcome to icvs,"['welcome', 'icvs']","['welcome', 'icvs']"
Welcome Message,"We’re excited to have you join our community of researchers, students, and professionals committed to advancing life and health sciences. Joining a new institute can feel overwhelming at first — new faces, new spaces, new systems — but we’re here to help you get settled in and feel at home.",were excited to have you join our community of researchers students and professionals committed to advancing life and health sciences joining a new institute can feel overwhelming at first new faces new spaces new systems but were here to help you get settled in and feel at home,"['were', 'excited', 'have', 'you', 'join', 'our', 'community', 'researcher', 'student', 'and', 'professional', 'committed', 'advancing', 'life', 'and', 'health', 'science', 'joining', 'new', 'institute', 'can', 'feel', 'overwhelming', 'first', 'new', 'face', 'new', 'space', 'new', 'system', 'but', 'were', 'here', 'help', 'you', 'get', 'settled', 'and', 'feel', 'home']","['excited', 'join', 'community', 'researcher', 'student', 'professional', 'committed', 'advancing', 'life', 'health', 'science', 'joining', 'new', 'institute', 'feel', 'overwhelming', 'first', 'new', 'face', 'new', 'space', 'new', 'system', 'help', 'get', 'settled', 'feel', 'home']"
Welcome Message,"Together, we strive to conduct research of excellence, support scientific careers, and contribute meaningfully to health innovation in Portugal and beyond. We count on your ideas, your energy, and your collaboration.",together we strive to conduct research of excellence support scientific careers and contribute meaningfully to health innovation in portugal and beyond we count on your ideas your energy and your collaboration,"['together', 'strive', 'conduct', 'research', 'excellence', 'support', 'scientific', 'career', 'and', 'contribute', 'meaningfully', 'health', 'innovation', 'portugal', 'and', 'beyond', 'count', 'your', 'idea', 'your', 'energy', 'and', 'your', 'collaboration']","['together', 'strive', 'conduct', 'research', 'excellence', 'support', 'scientific', 'career', 'contribute', 'meaningfully', 'health', 'innovation', 'portugal', 'beyond', 'count', 'idea', 'energy', 'collaboration']"
Welcome Message,Welcome aboard!,welcome aboard,"['welcome', 'aboard']","['welcome', 'aboard']"
Introduction,"This guidebook was designed to facilitate your arrival in your new workplace, help to carry out some initial tasks, and to clarify your doubts.",this guidebook was designed to facilitate your arrival in your new workplace help to carry out some initial tasks and to clarify your doubts,"['this', 'guidebook', 'was', 'designed', 'facilitate', 'your', 'arrival', 'your', 'new', 'workplace', 'help', 'carry', 'out', 'some', 'initial', 'task', 'and', 'clarify', 'your', 'doubt']","['guidebook', 'designed', 'facilitate', 'arrival', 'new', 'workplace', 'help', 'carry', 'initial', 'task', 'clarify', 'doubt']"
Introduction,"Regardless of the type and duration of your work relationship, the ICVS Welcome Guidebook should be your day-to-day reference.",regardless of the type and duration of your work relationship the icvs welcome guidebook should be your daytoday reference,"['regardless', 'the', 'type', 'and', 'duration', 'your', 'work', 'relationship', 'the', 'icvs', 'welcome', 'guidebook', 'should', 'your', 'daytoday', 'reference']","['regardless', 'type', 'duration', 'work', 'relationship', 'icvs', 'welcome', 'guidebook', 'daytoday', 'reference']"
Introduction,"On the following pages you will find the procedures to complete your onboarding, practical instructions for your daily life, as well as information that will allow you get to know ICVS and its culture, such as the history of the institute and relevant facts and figures.",on the following pages you will find the procedures to complete your onboarding practical instructions for your daily life as well as information that will allow you get to know icvs and its culture such as the history of the institute and relevant facts and figures,"['the', 'following', 'page', 'you', 'will', 'find', 'the', 'procedure', 'complete', 'your', 'onboarding', 'practical', 'instruction', 'for', 'your', 'daily', 'life', 'well', 'information', 'that', 'will', 'allow', 'you', 'get', 'know', 'icvs', 'and', 'it', 'culture', 'such', 'the', 'history', 'the', 'institute', 'and', 'relevant', 'fact', 'and', 'figure']","['following', 'page', 'find', 'procedure', 'complete', 'onboarding', 'practical', 'instruction', 'daily', 'life', 'well', 'information', 'allow', 'get', 'know', 'icvs', 'culture', 'history', 'institute', 'relevant', 'fact', 'figure']"
Introduction,"Please keep in mind that your colleagues are available to support you, whether in the laboratory context or in transversal units. We are all part of a team with a common goal!",please keep in mind that your colleagues are available to support you whether in the laboratory context or in transversal units we are all part of a team with a common goal,"['please', 'keep', 'mind', 'that', 'your', 'colleague', 'are', 'available', 'support', 'you', 'whether', 'the', 'laboratory', 'context', 'transversal', 'unit', 'are', 'all', 'part', 'team', 'with', 'common', 'goal']","['please', 'keep', 'mind', 'colleague', 'available', 'support', 'whether', 'laboratory', 'context', 'transversal', 'unit', 'part', 'team', 'common', 'goal']"
Introduction,"Never hesitate to ask colleagues, technical and administrative staff for support — collaboration and teamwork are central to our culture.",never hesitate to ask colleagues technical and administrative staff for support collaboration and teamwork are central to our culture,"['never', 'hesitate', 'ask', 'colleague', 'technical', 'and', 'administrative', 'staff', 'for', 'support', 'collaboration', 'and', 'teamwork', 'are', 'central', 'our', 'culture']","['never', 'hesitate', 'ask', 'colleague', 'technical', 'administrative', 'staff', 'support', 'collaboration', 'teamwork', 'central', 'culture']"
Introduction,"ICVS, who we are",icvs who we are,"['icvs', 'who', 'are']",['icvs']
